Number of point,X,Y
370,18.25,5.87
371,18.6,4.4
372,15.5,8.3
373,15.35,2.39
374,15.78,9.25
375,18.41,7.56
376,17.04,1.35
377,17.1,0.87
378,15.14,7.76
379,10.21,8.05
380,15.25,3.83
381,17.28,2.16
382,10.2,0.79
383,18.23,5.28
384,14.89,5.41
385,19.6,3.42
386,12.73,1.01
387,15.77,2.21
388,12.98,7.46
389,16.86,5.25
390,16.34,5.35
391,14,3.87
392,18.78,9.05
393,10.56,3.81
394,15.82,5.34
395,11.62,2.43
396,19.64,3.6
397,13.57,7.88
398,13.45,9.03
399,18.1,2.12
400,19.68,7.57
401,2.87,15.63
402,9.3,18.81
403,1.66,11.74
404,6.78,14.53
405,7.6,14.63
406,5.7,17.92
407,5.21,12.06
408,10,17.53
409,7.46,16.94
410,2.86,17.9
411,9.28,12.17
412,9.25,18.52
413,1.84,16.72
414,2.8,16.09
415,5.23,13.35
416,6.48,12.74
417,2.28,16.01
418,8.93,11.63
419,2.09,17.22
420,5.53,19.35
421,5.22,11.87
422,1.97,11.64
423,7.93,17.57
424,3.99,17.62
425,0.8,11.97
426,10,19.22
427,0.61,11.45
428,7.94,19.2
429,7.4,10.83
430,2.82,12.32
431,8.19,14.52
432,7.8,14.95
433,5.53,18.9
434,5.66,13.3
435,1.94,11.84
436,9.16,14.35
437,2.71,14.48
438,9.2,17.48
439,3.67,15.08
440,1.14,14.35
441,7.83,18.12
442,7.83,13.8
443,6.58,11.23
444,9.95,13.87
445,3.42,11.6
446,2.61,13.72
447,2.77,13.23
448,1.56,10.32
449,5.56,13.03
450,7.43,18.49
451,9.94,10.93
452,9.47,19.35
453,4.6,11.36
454,9.83,17.94
455,7.28,19.82
456,8,14.57
457,8.03,18.9
458,3.2,13.82
459,3.9,14.46
460,3.22,19.65
461,0.5,10.96
462,8.24,14.79
463,0.22,14.01
464,4.85,13.99
465,9.2,16.87
466,1.7,17.04
467,8.8,10.44
468,7.78,11.51
469,3.36,13.12
470,9.22,15.06
471,2.06,11.58
472,4.19,19.41
473,1.92,18.83
474,2.03,10.2
475,6.78,10.36
476,5.56,14.22
477,8.34,15.15
478,7.55,18.19
479,8.14,11.7
480,9.3,16.12
481,0.28,13.99
482,9.29,16.77
483,3.4,16.35
484,5.77,12.06
485,9.85,17.23
486,8.01,12.28
487,4.55,16.62
488,2.31,12.48
489,5.18,14.19
490,6,15.37
491,0.53,16.67
492,9.18,14.15
493,2.25,15.8
494,8.02,11.09
495,0.78,13.31
496,5.24,13.05
497,5.41,11.49
498,2.6,15.33
499,4.65,14.35
500,9.13,17.47
501,0.95,15.47
502,5.27,18.48
503,0.32,16.67
504,2.87,19.06
505,3.79,12.57
506,9.04,13.75
507,2.43,10.98
508,2.47,17.93
509,6.33,10.53
510,0.7,18.66
511,6.27,18.14
512,8.07,17.12
513,8.98,12.7
514,3.1,18.62
515,3.33,19.62
516,9.97,18.83
517,3.07,12.29
518,5.56,15.85
519,7.34,10.67
520,6.94,10.8
521,9.67,12.63
522,9.22,13.38
523,3.16,17.42
524,8.66,16.16
525,4.22,12.07
526,2,10.07
527,2.81,18.52
528,7.71,19.45
529,6.96,16.18
530,7.7,18.53
531,2.17,17.38
532,1.93,13.87
533,3.9,17.77
534,9.22,10.37
535,8.4,16.69
536,5.33,17.08
537,6.03,16.56
538,4.48,11.25
539,1.09,16.33
540,3.83,13.69
541,4.47,15.2
542,0.28,11.45
543,5.97,13.79
544,6.25,18.62
545,3.23,10.85
546,1.17,18.43
547,0.16,12.62
548,8.86,19.73
549,1.75,12.04
550,9.88,10.77
551,9.51,16.99
552,2.84,10.15
553,9.02,10.34
554,5.92,16.94
555,5.47,10.48
556,9.18,16.15
557,0.71,10.9
558,0.34,14.03
559,5.17,14.73
560,8.02,17.09
561,3.01,18.39
562,0.45,19.68
563,4.61,14.37
564,3.22,15.1
565,9.31,19.5
566,8.39,17.16
567,8.08,19.5
568,8,18.43
569,3,17.6
570,5.87,14.13
571,4.28,15.08
572,0.02,10.46
573,2.9,11.69
574,4.87,17.18
575,5.19,13.68
576,0.42,19.58
577,6.1,13.31
578,0.28,11.89
579,7.34,15.95
580,1.67,11.11
581,9.09,13.77
582,4.07,11.26
583,5.98,16.3
584,9.82,18.81
585,3.33,15.02
586,7.47,16.4
587,5.43,12.68
588,6,11.87
589,8.9,12.79
590,0.09,11.59
591,5.26,19.49
592,2.27,15
593,5.42,16.32
594,7.54,19.37
595,7.25,15.04
596,9.44,17.14
597,1.57,18.22
598,3.58,16.3
599,6.32,10.46
600,2.75,16.42
601,12.3,14.53
602,19.32,10.02
603,14.68,10.09
604,12.64,15.04
605,12.08,18.88
606,18.51,14.26
607,11.6,13.49
608,12.86,16.66
609,10.2,12.71
610,17.33,15.63
611,15.86,12.37
612,14.2,12.59
613,19.15,16.37
614,19.76,13.44
615,17.5,16.6
616,16.66,14.16
617,15.34,14.54
618,19.64,17.67
619,19.31,13.58
620,19.15,15.69
621,13.24,16.44
622,13.15,12.94
623,11.16,16.59
624,12.76,18.33
625,15.82,18.98
626,15.71,13.74
627,18.07,15.98
628,18.94,12.33
629,11.61,14.48
630,11.54,19.81
631,19.16,13.05
632,15.82,16.56
633,18.92,20
634,17.21,12.49
635,12.95,16.64
636,18.68,14.37
637,11.1,19.87
638,13.97,14.52
639,13.28,14.33
640,17.86,17.38
641,10.63,17.71
642,14.04,12.74
643,12.69,15.11
644,16.36,17.66
645,13.31,18.56
646,17.4,15.39
647,11.32,19.96
648,12.05,13.11
649,14.01,15.69
650,16.54,16.76
651,10.12,13.07
652,16.42,15.96
653,17.61,16.93
654,11.12,18.07
655,14.73,11.08
656,11.67,17.53
657,14.95,13.57
658,17.64,14.65
659,14.2,17.93
660,18.55,17.15
661,18.84,14.19
662,19.65,16.67
663,11.3,17.39
664,19.15,11.96
665,17.58,11.3
666,12.62,19.06
667,10.72,14.14
668,10.2,16.29
669,13.83,17.89
670,14.1,14.63
671,14.14,18.42
672,19.43,17.08
673,10.89,12.81
674,11.8,12.7
675,13.27,19.46
676,16.98,17.07
677,19.13,16.46
678,10.01,18.5
679,13.84,13.92
680,10.13,18.8
681,17.01,17.56
682,18.81,11.91
683,10.21,13.2
684,15.12,10.9
685,18.53,13.77
686,10.07,13.61
687,12.13,10.87
688,13.73,16.46
689,14.38,10.39
690,11.59,13.17
691,16.4,15.91
692,16.45,14.96
693,12.42,10.88
694,19.07,14.26
695,15.32,18.69
696,12.17,11.39
697,19.13,16.46
698,16.85,11.73
699,18.55,19.71
700,16.34,12.09
701,16.69,12.93
702,15.35,12.68
703,18.4,16.15
704,17.82,14.3
705,14.05,12.78
706,13.56,13.98
707,10.33,15.5
708,15.53,15.53
709,12.09,18.08
710,15.29,17.58
711,14.86,13.5
712,16.54,14.33
713,11.1,18.86
714,17.88,18.86
715,15.18,11.91
716,17.79,19.29
717,15.38,13.88
718,12.95,14.99
719,10.7,12.27
720,13.26,19.96
721,17.09,19.46
722,14.84,17.93
723,12.5,11.59
724,13.14,12.82
725,12.41,15.17
726,16.37,11.29
727,16.88,15.83
728,12.33,16.84
729,16.24,19.41
730,16.59,18.64
731,16.7,17.74
732,16.68,10.77
733,13.3,15.43
734,10.44,19.34
735,12.67,19.59
736,16.17,14.23
737,19.96,18.05
738,17.13,12.39
739,17.81,16.61
740,10.32,15.99
741,15.06,19.2
742,19.78,18.14
743,14.32,11.39
744,19.47,10.76
745,12.05,13.77
746,10.26,19.83
747,18.25,19.45
748,15.99,13.32
749,10.02,14.4
750,15.71,11.03
751,15.97,19.06
752,10.35,17.88
753,12.39,10.87
754,19.55,14.74
755,18.8,15.88
756,11.05,10.54
757,17.53,11.75
758,16.52,14.4
759,19.89,10.11
760,14.05,19.44
761,18.46,19.38
762,12.57,16.58
763,18.51,13.85
764,12.47,10.83
765,16.01,15.34
766,10.09,11.56
767,16.26,19.01
768,12.27,17.39
769,19.16,16.96
770,14.32,12.11
771,11.35,16.26
772,13.56,19.27
773,14.06,12.56
774,15.83,18.77
775,12.68,11.4
776,17.64,16.03
777,18.48,14.55
778,16.76,18.64
779,10.91,13.47
780,19.03,19.55
781,11.13,14.27
782,18.25,14.08
783,19.66,17.81
784,19.2,10.47
785,13.12,15.26
786,19.16,12.97
787,14.09,12.06
788,12.04,11.85
789,13.07,10.74
790,14.75,19.45
791,11.55,14.39
792,17.08,11.94
793,13.49,15.38
794,13.02,15.99
795,18.76,10.34
796,19.23,12.16
797,13.98,19.85
798,14.75,10.39
799,10.1,15.03
800,16.96,19.62
801,-48.32,-66.01
802,98.98,51.33
803,-54.65,37.57
804,51.12,-3.46
805,-88.4,-27.55
806,73.63,-27.57
807,-31.5,-96.56
808,90.71,-22.33
809,94.52,85.99
810,-82.47,0.19
811,-86.34,50.13
812,-60.14,78.97
813,51.41,-88.57
814,62.86,-2.58
815,-92.26,59.94
816,9.16,-3.44
817,6.06,14.66
818,-21.71,-55.75
819,4.6,-56.86
820,-25.83,99.29
821,99.33,5.37
822,-82.48,-61.86
823,-44.39,-36.46
824,-64.45,-12.62
825,-29.13,39.98
826,-15.45,29.72
827,-66.21,-98.73
828,36.45,39.42
829,-48.43,31.77
830,-7,-3.48
831,-90.4,20.83
832,2.24,-47.39
833,-83.2,-32.5
834,-67.06,3.22
835,-33.26,33.09
836,-42.8,-54.96
837,88.91,71.31
838,69.14,16.08
839,58.14,-38.54
840,-23.05,-95.91
841,99.15,-15.55
842,-48.97,-43.58
843,34.48,-71.92
844,50.53,-8.07
845,-57.26,67.86
846,70.66,62.52
847,35.32,93
848,2.27,58.6
849,-14.03,-27.99
850,-32.55,83.82
851,-41.82,-79.32
852,-2.71,53.79
853,72.67,-18.19
854,-5.78,-67.8
855,5.7,-89.88
856,66.8,97.23
857,86.06,37.38
858,9.43,-42.36
859,-82.4,-40.72
860,89.61,-7.72
861,-31.58,-58.19
862,-70.13,-71.3
863,-57.29,69.95
864,-42.93,-74.7
865,-35.87,37.4
866,31.44,65.98
867,-74.59,93.73
868,-71.83,65.48
869,-77.11,67.06
870,9.56,-14.69
871,-60.51,23.27
872,1.61,37.54
873,77.94,48.27
874,90.27,69.61
875,-79,91.42
876,1.23,-24.36
877,92.25,94.32
878,97.57,-38.18
879,-32.76,-10
880,99.42,3.78
881,-70.17,14.67
882,-47.21,-13.42
883,72.8,-27.28
884,-44.59,-72.1
885,-24.17,-58.39
886,13.7,-5.27
887,-72.53,-10.64
888,68.2,64.22
889,-52.74,74.22
890,36.3,1.66
891,34.37,46.85
892,61.94,-90.29
893,90.34,29.45
894,-60.78,81.81
895,-7.47,-74.47
896,-41.28,-49.23
897,-20.23,-71.06
898,95.79,19.87
899,-77.36,-21.62
900,-13.72,52.07
901,-60.52,-59.83
902,-64.78,19.8
903,61.38,52.77
904,-24.03,-51.05
905,53.84,-51.56
906,47.13,-15.67
907,-77.37,88.73
908,-99.49,96
909,12.12,31.78
910,-84.46,5
911,-85.17,11.7
912,-16.37,-92.74
913,0.6,-52.04
914,39.96,17.96
915,46.85,93.09
916,30.3,-71.09
917,-22.27,-83.94
918,84.42,88.47
919,-22.36,22.81
920,-16.42,-51.65
921,51.15,73.6
922,-73.23,36.72
923,-53.22,35.61
924,-92.1,-0.04
925,59.52,39.27
926,86.73,-16.59
927,-2.91,85.79
928,1.51,-43.52
929,-49.69,-74.32
930,98.39,99.82
931,68.9,-34.4
932,86.22,8.83
933,-24.55,66.55
934,78.68,8.72
935,10.41,-42.23
936,-10.04,-30
937,90.23,-13.03
938,64.45,-35.39
939,81.56,-14.69
940,4.31,56.55
941,-39.73,8.16
942,13.42,-62.29
943,50.48,-40.63
944,51.47,-83.29
945,-25.66,68.9
946,-5.88,73.77
947,42.29,8.03
948,69.64,-20.19
949,-18.36,81.92
950,-81.54,57.22
951,-92.14,-29.5
952,-6.21,5.3
953,43.27,44.82
954,-64.68,66.44
955,36.98,43.38
956,95.02,-36.13
957,-45.56,-67.57
958,-4.82,-9.65
959,66.62,89
960,21.06,12.3
961,-68.34,48.7
962,56.03,-22.8
963,77.05,10.48
964,-88.74,-28.5
965,19.82,-93.22
966,60.66,-54.59
967,-51.08,-6.41
968,55.07,44.36
969,55.34,-15.65
970,-63.19,45.94
971,-6.03,-19.23
972,19.1,-4.93
973,-34.62,-30.86
974,3.71,-96.7
975,36.95,37.02
976,-50.87,48.41
977,65.03,30.23
978,-85.5,22.01
979,89.11,-2.66
980,-35,86.91
981,6.56,38.77
982,73.69,13.03
983,91.38,41.18
984,75.32,66.13
985,-55.79,36.15
986,-24.91,74.73
987,-11.61,-83.67
988,58.02,65.7
989,45.87,-87
990,11.57,66.61
991,-52.08,59.39
992,-75.55,25.32
993,1.57,-76.75
994,3.83,-90.93
995,-18.81,-76.38
996,-9.31,-46.82
997,-93.52,-13.72
998,-56.95,59.09
999,-51.21,32.19
1000,37.73,14.24
1001,-28.9,-22.09
1002,-23.53,-27.67
1003,-28.26,-22.69
1004,-23.98,-21.22
1005,-26.19,-28.36
1006,-20.92,-23.13
1007,-23.19,-20.19
1008,-25.91,-23.17
1009,-23.12,-24.94
1010,-24.47,-22.88
1011,-20.07,-21.45
1012,-21.86,-20.12
1013,-28.24,-29.07
1014,-21.88,-20.61
1015,-24.71,-28.07
1016,-24.13,-21.58
1017,-24.93,-29.27
1018,-26.01,-29.33
1019,-25.1,-25.62
1020,-25.62,-28.44
1021,-27.36,-29.48
1022,-24.93,-24.39
1023,-22.25,-29.21
1024,-28.64,-22.43
1025,-25.27,-23.32
1026,-24.67,-22.02
1027,-23.16,-21.82
1028,-26.03,-28.22
1029,-24.82,-28.93
1030,-26.14,-26.89
1031,-20.51,-29.45
1032,-26.07,-25.23
1033,-25.31,-25.9
1034,-22.71,-26.75
1035,-22.81,-27.94
1036,-22.09,-25.18
1037,-24.45,-22.71
1038,-28.44,-23.14
1039,-24.19,-23.82
1040,-28.09,-20.42
1041,-29.86,-21.65
1042,-29.78,-25.95
1043,-23.66,-27.79
1044,-23.16,-22
1045,-22.1,-27.01
1046,-27.71,-25.89
1047,-21.15,-23.69
1048,-20.96,-25.08
1049,-22.66,-24.08
1050,-24.13,-24.62
1051,-29.65,-29.79
1052,-29.78,-21.81
1053,-29.63,-27.69
1054,-24.33,-22.39
1055,-23.54,-27.33
1056,-21.66,-29.31
1057,-21.89,-22.5
1058,-27.43,-24.69
1059,-21.03,-25.09
1060,-28.26,-26.81
1061,-22.53,-23.57
1062,-20.6,-20.07
1063,-21.61,-27.94
1064,-24.06,-22.34
1065,-22.15,-26.82
1066,-29.94,-25.34
1067,-20.22,-20.77
1068,-26.45,-21.24
1069,-29.68,-29.59
1070,-20.98,-20.75
1071,-22.32,-25.01
1072,-24.27,-28.2
1073,-25.96,-28.52
1074,-25.13,-21.03
1075,-26.91,-24.41
1076,-21.53,-21.51
1077,-23.57,-23.77
1078,-26.17,-25.68
1079,-22.76,-24.75
1080,-22.2,-28.96
1081,-28.44,-25.05
1082,-29.89,-26.27
1083,-20.18,-22.24
1084,-29.37,-23.97
1085,-26.73,-26.71
1086,-29.13,-28.91
1087,-23.37,-29.23
1088,-20.91,-21.32
1089,-28.72,-24.23
1090,-25.19,-22.8
1091,-21.35,-27.82
1092,-27.95,-26.26
1093,-26.23,-24.93
1094,-26.71,-27.82
1095,-26.6,-27.65
1096,-23.34,-25.14
1097,-26.82,-27.83
1098,-22.5,-28.78
1099,-26.52,-22.72
1100,-21.47,-22.69
1101,-28.36,-21.26
1102,-25.08,-30
1103,-20.81,-21.37
1104,-24.94,-22.33
1105,-25.06,-20.75
1106,-23.88,-20.32
1107,-21.6,-23.34
1108,-21.56,-22.79
1109,-24.08,-26.28
1110,-28.2,-21.21
1111,-25,-29.11
1112,-26.56,-28.39
1113,-25.49,-26.48
1114,-29.95,-28
1115,-28.6,-20.03
1116,-20.53,-26.15
1117,-23.39,-27.89
1118,-27.27,-24.92
1119,-29.34,-27.83
1120,-29.17,-25.38
1121,-24,-28.89
1122,-26.83,-26.54
1123,-20.34,-21.45
1124,-25.87,-23.51
1125,-27.61,-28.2
1126,-22.5,-30
1127,-28.4,-26.76
1128,-25.02,-21.19
1129,-29.95,-24.08
1130,-24.82,-22.94
1131,-27.83,-22.7
1132,-29.8,-21.07
1133,-25.2,-23.46
1134,-28.84,-28.73
1135,-28.49,-22.81
1136,-26.52,-25.25
1137,-20.51,-23.51
1138,-29.26,-28.32
1139,-22.19,-27.62
1140,-20.83,-20.48
1141,-20.58,-28.27
1142,-22.08,-27.35
1143,-26.24,-21.72
1144,-20.18,-25.45
1145,-23.1,-29.39
1146,-22.15,-23.38
1147,-22.37,-29.6
1148,-24.5,-29.68
1149,-21.64,-29.14
1150,-29.81,-22.39
1151,-22.61,-23.65
1152,-21.17,-20.41
1153,-20.66,-20.66
1154,-21.72,-23.23
1155,-29.92,-28.9
1156,-29.74,-29.25
1157,-20.62,-29.57
1158,-20.74,-21.62
1159,-28.25,-25.82
1160,-20.48,-20.43
1161,-24.15,-25.61
1162,-27.33,-24.51
1163,-27.19,-25.42
1164,-25.99,-25.02
1165,-20.09,-20.45
1166,-25.72,-20.88
1167,-22.9,-27.72
1168,-29.01,-20.7
1169,-27.83,-22.46
1170,-23.56,-28.26
1171,-21.08,-25.82
1172,-22.7,-25.15
1173,-29.67,-27.57
1174,-25.35,-26.36
1175,-24.62,-20.55
1176,-22.92,-29.25
1177,-25.93,-27.16
1178,-26.1,-22.08
1179,-22.1,-25.42
1180,-24.68,-26.3
1181,-24.55,-20.91
1182,-20.08,-24.2
1183,-27.88,-26.62
1184,-23.11,-20.33
1185,-22.43,-29.29
1186,-22.85,-24.81
1187,-29.91,-28.76
1188,-20.01,-25.87
1189,-22.28,-21.48
1190,-21.49,-20.44
1191,-25.81,-25.84
1192,-20.1,-29.6
1193,-22.44,-22.41
1194,-25.19,-28.93
1195,-24.84,-23.55
1196,-22.93,-21.91
1197,-28.12,-27.6
1198,-24.94,-20.9
1199,-24.5,-26.48
1200,-22.1,-29.64
1201,-22.43,-24.83
1202,-20.6,-26.63
1203,-29.86,-25.45
1204,-29.47,-26
1205,-23.22,-28.13
1206,-25.4,-24.87
1207,-29.28,-29.36
1208,-20.59,-23.26
1209,-24.9,-27.72
1210,-24.78,-28.41
1211,-28.59,-28.46
1212,-23,-25.18
1213,-21.63,-23.59
1214,-24.44,-23.53
1215,-21.67,-23.63
1216,-25.65,-23.3
1217,-26.98,-21.91
1218,-27.61,-25.28
1219,-23.82,-24.45
1220,-21.02,-22.14
1221,-28.8,-26.17
1222,-23.44,-29.75
1223,-24.54,-29.23
1224,-22.59,-28.37
1225,-20.66,-21.17
1226,-27.32,-25.72
1227,-24.67,-20.9
1228,-29.65,-26.63
1229,-29.3,-29.74
1230,-29.05,-28.65
1231,-28.56,-23.21
1232,-26.79,-22.04
1233,-28.33,-21.3
1234,-28.66,-27.63
1235,-29.62,-26.08
1236,-24.53,-28.08
1237,-22.66,-20.98
1238,-26.74,-23.42
1239,-23.6,-29.67
1240,-29.8,-29.37
1241,-23.46,-27.43
1242,-28.54,-25.63
1243,-22.39,-26.16
1244,-26.45,-29.56
1245,-23.73,-29.55
1246,-26.3,-20.28
1247,-20.62,-29.1
1248,-22.48,-24.88
1249,-24.65,-26.93
1250,-21.02,-26.53
1251,-25.13,-21.4
1252,-21.95,-27.15
1253,-28.58,-26.78
1254,-20.69,-29.87
1255,-25.14,-29.91
1256,-21.32,-25.57
1257,-24.29,-22.62
1258,-29.21,-20.08
1259,-29.69,-26.99
1260,-29.14,-21.03
1261,-23.53,-27.55
1262,-25.91,-21.71
1263,-20.82,-29.6
1264,-23.93,-28.18
1265,-27.98,-23.69
1266,-20.66,-23.96
1267,-20.6,-29.28
1268,-25.51,-29.06
1269,-21.27,-26
1270,-27.28,-26.94
1271,-27.08,-26.1
1272,-29.68,-28.05
1273,-20.27,-25.86
1274,-21.65,-29.42
1275,-28.57,-28.52
1276,-21.24,-22.05
1277,-24.45,-26.24
1278,-29.45,-23.44
1279,-26.58,-23.73
1280,-20.61,-25.79
1281,-22.97,-27.49
1282,-27.54,-28.8
1283,-20.92,-29.47
1284,-27.76,-24.56
1285,-21.22,-21.62
1286,-20.71,-29.53
1287,-22.05,-29.74
1288,-20.89,-20.65
1289,-20.99,-22.35
1290,-27.15,-29.25
1291,-27.61,-20.57
1292,-26.13,-24.14
1293,-27.93,-27.12
1294,-21.93,-28.3
1295,-21.6,-28.98
1296,-27.87,-28.33
