Number of point,X,Y
281,6.24,3.93
282,0.71,1.4
283,7.35,2.8
284,5.36,0.02
285,3.25,7.07
286,4.3,7.33
287,7.12,9.33
288,3.18,6.52
289,6.51,9.45
290,6.21,3.25
291,6.09,1.11
292,4.13,6.64
293,0.79,7.49
294,9.57,6.62
295,3.98,3.54
296,4.4,8.09
297,1.21,8.04
298,9,2.52
299,4.16,3.41
300,7.57,2.37
301,0.12,4.54
302,8.77,5.69
303,4.57,7.75
304,1.66,2.95
305,5.27,2.5
306,5.25,3.11
307,4.55,5.47
308,2.85,4.31
309,0.74,1.68
310,4.47,9.59
311,4.16,9.25
312,0.01,7.85
313,8.61,7.31
314,4.56,9.68
315,6.67,4.41
316,8.97,9.65
317,7.59,9.34
318,1.73,6.32
319,6.74,1.49
320,0.49,5.26
321,6.83,1.73
322,9.88,0.48
323,9.29,2.09
324,2.4,2.12
325,9.69,7.22
326,9.29,6.24
327,6.14,9.39
328,5.92,7.46
329,9.02,6.32
330,6.79,3.98
331,4.99,1.92
332,3.86,7.79
333,2.46,4.66
334,0.05,5.49
335,8.83,8.09
336,5.84,1.07
337,2.63,8.35
338,0.39,9.52
339,2.66,8.03
340,8.38,8.22
341,9.97,8.23
342,0.41,4.36
343,2.04,2.94
344,8.43,8.67
345,0.95,3.06
346,0.08,7.1
347,7.47,0.69
348,9.55,6.61
349,5.14,5.11
350,2.76,8.95
351,2.65,2.29
352,9.13,9.36
353,7.04,6.51
354,8.16,2.01
355,5.23,4.89
356,9.15,9.46
357,3.22,2.32
358,5.21,4.57
359,5.47,3.13
360,6.28,6.24
361,0.46,8.55
362,5.16,3.32
363,5.57,2.07
364,2.72,4.71
365,1,8.92
366,2.99,1.96
367,1.29,1.48
368,6.99,8.48
369,1.15,9.23
370,4.11,9.56
371,3.94,8.96
372,2.52,6.72
373,1.11,4.6
374,2.97,2.77
375,1.21,0.56
376,8.02,8.53
377,8.55,4.38
378,9.54,3.94
379,8.85,0.19
380,9.63,6.21
381,0.89,5.4
382,0.32,7.06
383,1.1,4.57
384,5.6,2.64
385,2.75,0.42
386,2.69,3.28
387,9.4,8.68
388,1.76,7.16
389,3.47,7.68
390,7.8,2.39
391,1.69,6.35
392,4.03,3.65
393,9.94,1.41
394,4.79,8.45
395,0.87,7.76
396,7.01,1.73
397,1.29,7.85
398,4.95,7.9
399,4.66,2.66
400,7.6,6.65
401,3.91,6.11
402,0.2,6.06
403,9.18,5.28
404,6.22,1.87
405,5.75,5.45
406,0.36,0.64
407,1.82,0.16
408,7.89,4.7
409,7.42,7.86
410,3.48,4.66
411,5.65,3.78
412,8.26,6.69
413,4.8,9.01
414,5.83,1.21
415,5.68,3.08
416,9.78,2.22
417,7.87,2.45
418,4.25,1.1
419,1.25,8.24
420,1.67,1.66
421,5.19,7.58
422,4.47,8.38
423,6.48,4.92
424,2.28,2.98
425,0.83,3.81
426,2.75,4.8
427,5.33,9.2
428,8.82,0.87
429,8.18,7.15
430,3.38,5.49
431,5.69,4.72
432,9.08,6.55
433,9.22,9.89
434,0.44,5.88
435,6.02,5.9
436,4.3,7.58
437,6.95,8.25
438,1.6,8.05
439,5.08,9.61
440,6.11,1.31
441,7.06,10
442,9.69,6.36
443,8.93,5.78
444,0.85,5.01
445,4.67,2.6
446,3.56,7.19
447,1.52,9.79
448,0.72,4.39
449,3.59,4.92
450,9.02,4.83
451,0.8,4.07
452,6.08,4.56
453,4.56,5.87
454,4.33,2
455,3.29,1.04
456,3.76,4.92
457,9.47,9.97
458,1.68,9.87
459,9.19,7.89
460,0.16,9.27
461,9.13,6.26
462,7.65,4.94
463,9.42,2.6
464,8.22,0.46
465,7.95,7.88
466,6.31,7.76
467,5,6.84
468,6.96,9.22
469,7.67,8.33
470,7.14,1.98
471,9.34,5.11
472,2.63,5.28
473,9.92,7.07
474,5.59,5.3
475,7.62,8.3
476,5.46,1.73
477,5.19,6.92
478,2.28,8.48
479,2.18,3.4
480,3.09,7.67
481,5.99,6.24
482,5.36,5.53
483,4.25,4.43
484,0.05,0.32
485,2.72,2.49
486,6.58,8.54
487,1.94,4.03
488,4.75,1.74
489,7.98,3.03
490,5.37,4.82
491,8.77,2.19
492,9.32,9.65
493,7.12,2.49
494,1.44,3.5
495,7.46,1.67
496,8.88,5.05
497,0.16,0.52
498,9.01,9.03
499,2.21,6.08
500,3.39,6.04
501,9.67,9.31
502,6.35,4.73
503,2.83,9.97
504,3.08,8.06
505,3.97,1.84
506,6.17,5.06
507,1.46,3.54
508,8.39,9.36
509,1.03,5.21
510,6.46,0.26
511,0.09,1.35
512,1.97,6.45
513,2.78,6.04
514,1.89,2.47
515,0.36,0.02
516,9.31,7.36
517,8.12,9.89
518,1.26,2.38
519,2.33,3.75
520,4.52,6.18
521,6.34,4.53
522,3.87,7.11
523,8.43,5.1
524,4.2,0.14
525,4.49,8.6
526,0.67,6.49
527,1.02,3.52
528,6.65,6.03
529,3.33,8.86
530,6.91,3.95
531,2.49,0.82
532,2.11,8.66
533,3.3,7.5
534,3.01,8.48
535,4.11,2.07
536,8.58,2.77
537,3.32,5.54
538,0.14,7.07
539,2.2,0.65
540,3.36,4.29
541,2.73,2.55
542,4.17,1.68
543,0.68,1.72
544,1.34,9.05
545,3.58,7.12
546,4.03,8.9
547,6.83,4.81
548,3.39,4.12
549,8.76,5.75
550,9.8,1.85
551,2.46,1.28
552,3.29,6.35
553,0.39,9.32
554,4.41,5.97
555,1.02,6.36
556,2.33,2.9
557,8.51,2.2
558,2.64,1.41
559,9.28,2.9
560,8.4,3.55
561,3.08,0.31
562,2.87,8.73
563,3.35,2
564,6.78,1.51
565,4.46,3.55
566,2.59,0.86
567,2.69,7.11
568,1.83,2.2
569,3.2,5.3
570,8.05,0.43
571,4.11,3.5
572,2.61,4.76
573,5.52,5.93
574,8.64,9.77
575,8.33,7.33
576,4.08,6.49
577,0.09,8.75
578,6.38,8.47
579,3.53,8.55
580,2.14,9.17
581,2.79,6.38
582,0.64,7.65
583,0.76,6.54
584,9.64,2.35
585,4.98,4.42
586,5.73,4.78
587,8.23,9.96
588,6.74,1.41
589,4.8,1.24
590,8.29,8.74
591,7.75,0.74
592,6.4,9.18
593,2.81,1.15
594,2.31,1.19
595,9.49,6.78
596,2.81,9.68
597,4.3,8.07
598,9.37,6.91
599,5.91,1.76
600,4.87,8.34
601,0.53,3.44
602,5.22,7.77
603,8.46,5.13
604,1.94,9.92
605,3.7,9.91
606,9.8,0.87
607,5.01,9.38
608,6.68,0
609,6.29,1.69
610,0.27,4.72
611,0.45,2.41
612,8.46,6.55
613,1.98,4.82
614,5.19,4.63
615,3.36,9.47
616,6.58,1.47
617,3.47,4.17
618,4.33,1.19
619,9.92,2.12
620,2.59,1.65
621,8.13,3.37
622,4.32,5.91
623,3.47,7.38
624,9.92,7.65
625,9.5,7.88
626,8.73,2.56
627,2.66,9.48
628,5.1,3.22
629,5.24,1.53
630,0.95,8.98
631,3.76,0.15
632,0.96,4.02
633,6.16,8.12
634,0.73,4.15
635,8.38,1.11
636,4.21,1.59
637,1.06,1.85
638,2.17,3.64
639,3.84,5.65
640,9.05,0.99
641,4.08,6.3
642,0.23,9.83
643,4.68,1.65
644,5.33,5.3
645,0.12,2.59
646,0.7,9.89
647,5.94,8.36
648,2.54,8.85
649,1.12,0.52
650,9.76,0.84
651,8.21,9.39
652,6.41,4.83
653,3.69,1.96
654,5.22,4.34
655,9.86,8.81
656,4.9,1.13
657,4.94,8.67
658,1.19,6.21
659,8.04,8
660,9.08,2.75
661,5.87,7.87
662,4.44,4.38
663,3.37,8.27
664,3.04,6.98
665,7.7,6.66
666,9.36,3.33
667,4.94,3.27
668,9.15,3.26
669,3.02,1.38
670,0.9,8.39
671,4.73,5.3
672,2.57,2.19
673,2.53,9.08
674,6.08,0.39
675,5.74,0
676,3.43,8.61
677,0.59,1.38
678,8.55,6.3
679,6.96,5.06
680,0.72,3.58
681,7.57,7.14
682,0.35,1.62
683,5.46,0.27
684,3.29,1.15
685,1.08,6.25
686,9.29,3.88
687,8.41,3.74
688,7.11,0.35
689,8.91,8.51
690,1.64,1.59
691,8.01,8.7
692,3.29,5.17
693,4.45,2.32
694,2.77,6.71
695,5.75,9.97
696,9.09,9.11
697,0.68,3.17
698,9.2,8.83
699,0.44,2.27
700,9.57,7.03
701,0.42,6.44
702,0.36,5.14
703,7.41,6.38
704,5.07,2.42
705,3.07,1.01
706,4.49,1.37
707,2.25,9
708,5.59,1.62
709,0.98,7.2
710,2,0.88
711,8.05,9.98
712,2.66,3.09
713,5.24,6.16
714,6.81,2.89
715,3.15,2.43
716,7.91,4.46
717,5.76,6.81
718,7.12,5.87
719,6.32,5.6
720,4.54,9.43
721,8.58,7.22
722,4.18,1.53
723,3.8,9.6
724,0.03,0.16
725,3.23,2.48
726,8.08,4.84
727,1.4,9.79
728,4.71,0.24
729,7.79,8.82
730,8.04,3.55
731,4.82,8.91
732,7.75,2.21
733,3.22,2.06
734,2.14,4.47
735,6.28,0.08
736,8.45,1.1
737,8.25,7.81
738,9.87,9.15
739,6.46,3.37
740,0.42,7.77
741,4.78,10
742,4.91,2.19
743,6.08,7.82
744,6.82,7.33
745,3.13,0.12
746,2.69,5.81
747,4.93,0.29
748,3.77,9.26
749,3.31,1.14
750,8.39,8.42
751,2.93,5.91
752,3.26,8.21
753,0.2,2.34
754,3.52,4.37
755,2.35,8.54
756,6.35,2.12
757,4.39,2.34
758,5.49,9.59
759,5.91,2.51
760,8.88,9.07
761,2.2,5.53
762,2.41,3.88
763,8.21,3.28
764,0.1,6.55
765,0.47,3.62
766,0.75,1.21
767,6.01,5.07
768,5.36,5.92
769,1.61,2.15
770,3.53,0.79
771,7.15,4.49
772,4.39,1.77
773,6.05,1.16
774,3.82,3.82
775,5.63,2.13
776,9.14,9.5
777,1.68,5.01
778,9.21,9.98
779,4.19,7.13
780,3.37,8.26
781,7.9,3.4
782,7.08,9.64
783,8.81,0.27
784,4.61,0.64
785,5.63,5.79
786,0.97,5.1
787,7.78,5.78
788,2.66,5
789,0.74,9.4
790,3.73,6.42
791,0.56,3.55
792,4.74,7.35
793,5.29,4.28
794,3.13,7.89
795,0.35,6.78
796,0.65,5.87
797,9.45,2.73
798,6.84,8.29
799,0.36,1.45
800,0.75,0.54
801,2.39,2.83
802,2.54,7.51
803,7.73,7.5
804,1.73,3.38
805,2.31,5.28
806,8.5,7.05
807,0.25,1.59
808,5.06,2.04
809,9.87,1.28
810,0.08,4
811,7.77,9.08
812,8.77,2.99
813,6.5,5.91
814,0.31,9.41
815,3.86,0.34
816,2.95,7.04
817,5.48,3.4
818,6.3,3.62
819,5.76,0.39
820,4.06,2.98
821,7.06,9.14
822,5.79,3.41
823,6.7,0.4
824,0.33,2.36
825,5.91,5.9
826,1.27,8.23
827,3.32,9.15
828,6.91,8.82
829,8.06,4.41
830,0.61,3.46
831,2.48,4.86
832,3.54,1.42
833,9.11,2.83
834,4.62,1.46
835,9.22,7.11
836,5.09,5.5
837,1.99,2.59
838,2.55,7.62
839,2.43,8.67
840,1.4,4.52
841,6.99,3.04
842,3.8,5.7
843,0.18,2.81
844,1.27,5.21
845,3.5,0.74
846,6.01,6.39
847,5.64,3.78
848,7.37,0.87
849,2.15,5.74
850,4.36,5.71
851,2.12,4.08
852,6.24,2.71
853,5.43,1.86
854,5.36,8.91
855,0.38,4.43
856,3.63,9.05
857,1.25,4.54
858,6.95,3.89
859,2.47,2.47
860,0.02,7.85
861,0.42,5.28
862,4.46,5.34
863,7.89,9.06
864,8.76,4.15
865,9.64,9.37
866,7.55,8.06
867,9.35,2.82
868,1.64,8.74
869,0.46,2.35
870,4.18,1.58
871,6.3,6.76
872,3.74,5.28
873,5.25,1.12
874,1.49,6.62
875,6.81,0.11
876,2.53,0.75
877,8.1,4.89
878,5.82,4.25
879,7.19,0.12
880,5,3.9
881,1.04,2.27
882,0.34,0.98
883,2.46,2.35
884,5.99,3.26
885,7.77,1.28
886,2.24,8.22
887,7.38,4.66
888,9.89,3.82
889,1.43,8.28
890,2.13,9.8
891,0.44,4.69
892,8.09,5.14
893,9.47,1.46
894,1.92,9.72
895,6.73,1.04
896,7.2,1
897,9.93,5.26
898,1.98,5.47
899,6.75,4.34
900,3.46,3.51
901,4.33,9.23
902,3.01,1.85
903,8.51,8.45
904,3.72,9.36
905,2.27,6.83
906,4.59,4.46
907,9.91,6.61
908,9.99,7.76
909,8.56,6.55
910,0.29,8.31
911,7.78,6.17
912,6.52,2.87
913,0.66,5.6
914,8.66,8.03
915,9.83,8.42
916,1.74,1.22
917,1.38,1.95
918,3.8,5.2
919,1.22,9.75
920,8.6,0.47
921,0.29,4.85
922,2.27,3.19
923,4.5,1.51
924,0.19,2.8
925,9.82,8.3
926,6.7,0.87
927,8.21,5.94
928,3.39,0.3
929,1.51,7.71
930,8.83,7.58
931,7.07,4.21
932,0.1,4.9
933,1.1,0.59
934,4.34,0.43
935,0.44,5.66
936,0.51,4.36
937,1.89,0.68
938,6.17,7.78
939,0.47,3.39
940,1.98,1.09
941,7.14,7.18
942,7.91,6.87
943,5.17,1.23
944,8.32,5.61
945,2.32,5.69
946,6.31,3.75
947,4.35,8.47
948,1.13,9.62
949,2.63,3.29
950,3.49,6.74
951,8.26,9.84
952,3.27,1.86
953,0.93,6.2
954,5.32,7.46
955,9.21,4.92
956,9.05,9.75
957,8.11,7.42
958,3.88,1.51
959,3.13,9.44
960,2.56,1.12
961,6.32,4.99
962,0.56,7.49
963,5.23,0.18
964,3.15,3.77
965,7.82,5.1
966,2.14,4.14
967,3.52,3.28
968,6.87,2.46
969,6.17,3.58
970,0.32,1.7
971,9.97,0.95
972,5.64,2.91
973,4.72,6.74
974,0.36,4.12
975,5.45,1.19
976,0.59,0.16
977,5.67,7.83
978,5.48,1.4
979,8.02,6.29
980,2.39,7.16
981,6.9,4.17
982,4.91,0.42
983,4.49,1.35
984,3.58,1.45
985,1.07,5.7
986,7.87,3.27
987,4.58,0.28
988,8.8,8.9
989,4.78,0.33
990,3.73,4.65
991,2.37,1.54
992,1.99,0.37
993,8.73,8.02
994,9.39,3.17
995,5.79,7.61
996,4.11,1.7
997,0.58,1.01
998,5.12,8.75
999,1.87,7.11
1000,5.32,2.27
